article,author,url,DOI,year
A user-centric machine learning framework for cyber security operations center,"Charles Feng;
Shuning Wu;
Ningwei Liu",https://ieeexplore.ieee.org/document/8004902/,10.1109/ISI.2017.8004902,Year: 2017
Machine-Learning Prediction of Informatics Students Interest to the MBKM Program: A Study Case in Universitas Pembangunan Jaya,"Nur Uddin;
Safitri Jaya;
Edi Purwanto;
Ananda Arta Dwi Putra;
Muhammad Wildan Fadhilah;
Abimanyu Luthfi Rizq Ramadhan",https://ieeexplore.ieee.org/document/9743125/,10.1109/ISMODE53584.2022.9743125,Year: 2022
Fitting and Prediction for Crack Propagation Rate Based on Machine Learning Optimal Algorithm,"Yi Wan;
Chengwen Wu",https://ieeexplore.ieee.org/document/5358990/,10.1109/EEEE.2009.31,Year: 2009
Stock Market Analysis using Supervised Machine Learning,"Kunal Pahwa;
Neha Agarwal",https://ieeexplore.ieee.org/document/8862225/,10.1109/COMITCon.2019.8862225,Year: 2019
The inverse problem of support vector machines and its solution,"Qiang He;
Jun-Fen Chen",https://ieeexplore.ieee.org/document/1527698/,10.1109/ICMLC.2005.1527698,Year: 2005
Nonconvex Online Support Vector Machines,"Seyda Ertekin;
Leon Bottou;
C. Lee Giles",https://ieeexplore.ieee.org/document/5473234/,10.1109/TPAMI.2010.109,Year: 2011
Special Disease Prediction System Using Machine Learning,"Rohit Kumar;
Prince Thakur;
Sps Chauhan",https://ieeexplore.ieee.org/document/9850843/,10.1109/COM-IT-CON54601.2022.9850843,Year: 2022
Machine learning analysis and inference of student performance and visualization of data results based on a small dataset of student information,"Haoyang Li;
Wenxuan Li;
Zihao Zhang;
Haobo Yuan;
Yunxiang Wan",https://ieeexplore.ieee.org/document/9731026/,10.1109/MLBDBI54094.2021.00031,Year: 2021
Detecting and Classifying Phishing Websites by Machine Learning,Zichen Fan,https://ieeexplore.ieee.org/document/9712124/,10.1109/ICAML54311.2021.00018,Year: 2021
Energy Efficiency Modeling for Configuration-Dependent Machining via Machine Learning: A Comparative Study,"Qinge Xiao;
Congbo Li;
Ying Tang;
Xingzheng Chen",https://ieeexplore.ieee.org/document/8959387/,10.1109/TASE.2019.2961714,Year: 2021
Improved Fuzzy Multicategory Support Vector Machines Classifier,"Xi-zhao Wang;
Shu-xia Lu",https://ieeexplore.ieee.org/document/4028692/,10.1109/ICMLC.2006.258575,Year: 2006
A New Fuzzy Multicategory Support Vector Machines Classifier,"Shu-Xia Lu;
Xian-Hao Liu;
Jun-Hai Zhai",https://ieeexplore.ieee.org/document/4370635/,10.1109/ICMLC.2007.4370635,Year: 2007
Personal credit risk identification based on combined machine learning model,"Xiao Ruan;
Ning Ding",https://ieeexplore.ieee.org/document/9611693/,10.1109/MLISE54096.2021.00008,Year: 2021
Statistical Machine Learning Used in Integrated Anti-Spam System,"Peng-Fei Zhang;
Yu-Jie Su;
Cong Wang",https://ieeexplore.ieee.org/document/4370855/,10.1109/ICMLC.2007.4370855,Year: 2007
Dynamic single machine scheduling using Q-learning agent,"Lian-Fang Kong;
Jie Wu",https://ieeexplore.ieee.org/document/1527501/,10.1109/ICMLC.2005.1527501,Year: 2005
Semisupervised Learning via Axiomatic Fuzzy Set Theory and SVM,"Wenjuan Jia;
Xiaodong Liu;
Yuangang Wang;
Witold Pedrycz;
Juxiang Zhou",https://ieeexplore.ieee.org/document/9275342/,10.1109/TCYB.2020.3032707,Year: 2022
A new nu-support vector machine for training sets with duplicate samples,"Yin-Shan Jia;
Chuan-Ying Jia;
Hong-Wei Qi",https://ieeexplore.ieee.org/document/1527707/,10.1109/ICMLC.2005.1527707,Year: 2005
Detection of Cyberbullying in Social Networks Using Machine Learning Methods,"Elif Varol Altay;
Bilal Alatas",https://ieeexplore.ieee.org/document/8625321/,10.1109/IBIGDELFT.2018.8625321,Year: 2018
CPSX: Using AI-Machine Learning for Mapping Human-Human Interaction and Measurement of CPS Teamwork Skills,"Pravin Chopade;
David Edwards;
Saad M. Khan;
Alejandro Andrade;
Scott Pu",https://ieeexplore.ieee.org/document/9032906/,10.1109/HST47167.2019.9032906,Year: 2019
Sentiment Analysis of Twitter Data Using TF-IDF and Machine Learning Techniques,"Satyendra Singh;
Krishan Kumar;
Brajesh Kumar",https://ieeexplore.ieee.org/document/9850477/,10.1109/COM-IT-CON54601.2022.9850477,Year: 2022
Sensitivity based Growing and Pruning method for RBF network in online learning environments,"Patrick P. K. Chan;
Xi-Rong Wu;
Wing W. Y. Ng;
Daniel S. Yeung",https://ieeexplore.ieee.org/document/6016934/,10.1109/ICMLC.2011.6016934,Year: 2011
A method to choose kernel function and its parameters for support vector machines,"Huan-Jun Liu;
Yao-Nan Wang;
Xiao-Fen Lu",https://ieeexplore.ieee.org/document/1527688/,10.1109/ICMLC.2005.1527688,Year: 2005
