article,author,url,DOI,year
Optimization of Log-Periodic Dipole Array Antennas for Wideband Omnidirectional Radiation,"Robert Lehmensiek;
Dirk I. L. de Villiers",https://ieeexplore.ieee.org/document/7109875/,10.1109/TAP.2015.2434413,Year: 2015
A Novel Dual Band-notched Ultra-wideband Slot Antenna,"Z. F. Yao;
X. Wang;
S. G. Zhou;
L. Sun;
B. H. Sun;
Q. Z. Liu",https://ieeexplore.ieee.org/document/4735141/,10.1109/ISAPE.2008.4735141,Year: 2008
Wideband Horizontally Polarized Omnidirectional Antenna With Small Size,"Liang Hua Ye;
Zhi Jie Zhang;
Wen Duan;
Xiu Yin Zhang",https://ieeexplore.ieee.org/document/8627519/,,Year: 2018
Directivity and Diversity Dual-Mode Stacked Antenna Array Using Directors of Yagi–Uda Antenna as Monopole Antennas,"Hyeonhyeong Choe;
Sungjoon Lim",https://ieeexplore.ieee.org/document/6776399/,10.1109/LAWP.2014.2312976,Year: 2014
Wide-beam Choke Horn Antenna for Small Drone Detection,"Laxmikant Minz;
Hyun-Seong Kang;
Muhammad Tayyab Azim;
Rao Shahid Aziz;
Seong-Ook Park",https://ieeexplore.ieee.org/document/8627548/,,Year: 2018
Enhanced Cross-Polarization Discrimination of Wideband Differentially Fed Dual-Polarized Antenna via a Shorting Loop,"Zhaoyang Tang;
Jinhai Liu;
Yingzeng Yin",https://ieeexplore.ieee.org/document/8389210/,10.1109/LAWP.2018.2849221,Year: 2018
Design of Multi-Frequency Compact Antennas for Automotive Communications,"Sergio Arianos;
Gianluca Dassano;
Francesca Vipiana;
Mario Orefice",https://ieeexplore.ieee.org/document/6266694/,10.1109/TAP.2012.2213052,Year: 2012
Design of a dual(UHF/S) bands antenna handset,"Bizhou Fan;
Liang Xu;
Hui Zhang;
Yi Wang",https://ieeexplore.ieee.org/document/7833895/,10.1109/ISAPE.2016.7833895,Year: 2016
Ultra-Wideband Dual-Polarized 4×4 MIMO Multi-Beam RET Antennas,"Lin-Ping Shen;
Hua Wang;
Erik Willis;
Nasrin Hojjat;
Hamid Jamali;
Xiaoqing Wu",https://ieeexplore.ieee.org/document/9703704/,10.1109/APS/URSI47566.2021.9703704,Year: 2021
Analytical study of broadbanding of a planar antenna for improving the deteriorated characteristics due to fading phenomenon,"Herman Hideyuki Uchida;
Hiroyasu Matsui;
Toshio Wakabayashi",https://ieeexplore.ieee.org/document/5996543/,10.1109/APS.2011.5996543,Year: 2011
