name,author,press,release_date,ISBN
 四川国学院史,魏红翎 著,中华书局,2020-04-18,9787101142396
 近代岭南建筑美学研究——建筑学博士论丛,唐孝祥 著,中国建筑工业出版社,2003-09-01,9787112059140
 人间词话（小嘉抖音推荐，叶嘉莹讲评本，诗词大家叶嘉莹逐条讲透、点评王国维诗词美学经典，读懂人生三境界）,王国维，讲评 叶嘉莹，果麦文化 出品,万卷出版公司,2021-10-01,9787547057414
 意境：简忠威水彩艺术,简忠威,金城出版社,2019-03-01,9787515517926
 歌德谈话录（美学宗师朱光潜匠心译本 批注丰富）,爱克曼 辑录，朱光潜 译,译林出版社,2021-01-01,9787544784092
 品味四讲（蒋勋代表作，“孤独三书”系列百万册纪念版。所有生活的美学旨在抵抗一个字：忙）,蒋勋 著 时代华语 出品,江苏凤凰文艺出版社,2020-05-01,9787559446602
 吃对了吗,林卫辉,广东人民出版社,2022-08-01,9787218158211
 深过最深之水——日本艺术行走随笔,洁尘,江苏凤凰文艺出版社,2022-06-01,9787559461681
