article,author,url,DOI,year
Blockchain-Oriented Privacy Protection with Online and Offline Verification in Cross-Chain System,"Xiling Li;
Zhaofeng Ma;
Shoushan Luo",https://ieeexplore.ieee.org/document/9845048/,10.1109/ICBCTIS55569.2022.00048,Year: 2022
Tiramisu: Layering Consensus Protocols for Scalable and Secure Blockchains,"Anurag Jain;
Sanidhay Arora;
Sankarshan Damle;
Sujit Gujar",https://ieeexplore.ieee.org/document/9805562/,10.1109/ICBC54727.2022.9805562,Year: 2022
Towards Enabling Deletion in Append-Only Blockchains to Support Data Growth Management and GDPR Compliance,Michael Kuperberg,https://ieeexplore.ieee.org/document/9284810/,10.1109/Blockchain50366.2020.00057,Year: 2020
ZGridBC: Zero-Knowledge Proof based Scalable and Private Blockchain Platform for Smart Grid,"Takeshi Miyamae;
Fumihiko Kozakura;
Makoto Nakamura;
Shenbin Zhang;
Song Hua;
Bingfeng Pi;
Masanobu Morinaga",https://ieeexplore.ieee.org/document/9461122/,10.1109/ICBC51069.2021.9461122,Year: 2021
Exploration of Radio Monitoring Data Storage Based on Blockchain Technology,"Xiaoying Ma;
Zhixin Wang;
Wenkang Wei;
Anping Li",https://ieeexplore.ieee.org/document/9759191/,10.1109/CBFD52659.2021.00110,Year: 2021
FastChain: Scaling Blockchain System with Informed Neighbor Selection,"Ke Wang;
Hyong S. Kim",https://ieeexplore.ieee.org/document/8946238/,10.1109/Blockchain.2019.00058,Year: 2019
Scalable Privacy-Preserving Query Processing over Ethereum Blockchain,"Shlomi Linoy;
Hassan Mahdikhani;
Suprio Ray;
Rongxing Lu;
Natalia Stakhanova;
Ali Ghorbani",https://ieeexplore.ieee.org/document/8946223/,10.1109/Blockchain.2019.00061,Year: 2019
Hybrid Blockchain Design for Privacy Preserving Crowdsourcing Platform,"Saide Zhu;
Huafu Hu;
Yingshu Li;
Wei Li",https://ieeexplore.ieee.org/document/8946175/,10.1109/Blockchain.2019.00013,Year: 2019
SV-DEMR: An Electronic Medical Record Data Sharing Scheme Based on Searchable and Verifiable Encryption via Consortium Blockchain,"Yi Zhang;
Shiqiong Lin;
Jinyi Zhao",https://ieeexplore.ieee.org/document/9845101/,10.1109/ICBCTIS55569.2022.00038,Year: 2022
An Edge Computing Data Privacy-Preserving Scheme Based on Blockchain and Homomorphic Encryption,"Guangxia Xu;
Jiajun Zhang;
Ling Wang",https://ieeexplore.ieee.org/document/9845103/,10.1109/ICBCTIS55569.2022.00044,Year: 2022
A High Performance Blockchain Platform for Intelligent Devices,"Shitang Yu;
Kun Lv;
Zhou Shao;
Yingcheng Guo;
Jun Zou;
Bo Zhang",https://ieeexplore.ieee.org/document/8606017/,10.1109/HOTICN.2018.8606017,Year: 2018
Ownership Preserving AI Market Places Using Blockchain,"Nishant Baranwal Somy;
Kalapriya Kannan;
Vijay Arya;
Sandeep Hans;
Abhishek Singh;
Pranay Lohia;
Sameep Mehta",https://ieeexplore.ieee.org/document/8946195/,10.1109/Blockchain.2019.00029,Year: 2019
