article,author,url,DOI,year
Energy Preserving QMF for Image Processing,"Jian-ao Lian;
Yonghui Wang",https://ieeexplore.ieee.org/document/6822639/,10.1109/TIP.2014.2326772,2014
Relationships Between Smooth- and Small-Phase Conditions in X-Ray Phase-Contrast Imaging,"Daxin Shi;
Mark A. Anastasio",https://ieeexplore.ieee.org/document/5331297/,10.1109/TMI.2009.2026899,2009
Application of Triangulation-Based Image Registration Method in the Remote Sensing Image Fusion,"Lin Xuehua;
Zhang Yongzhi;
Yang YuJiazi",https://ieeexplore.ieee.org/document/5200169/,10.1109/ESIAT.2009.440,2009
Investigation of the production properties of fancy yarns using image processing method,"İhsan Süle;
Cihan Süle",https://ieeexplore.ieee.org/document/7130340/,10.1109/SIU.2015.7130340,2015
Visual-Textual Joint Relevance Learning for Tag-Based Social Image Search,"Yue Gao;
Meng Wang;
Zheng-Jun Zha;
Jialie Shen;
Xuelong Li;
Xindong Wu",https://ieeexplore.ieee.org/document/6212356/,10.1109/TIP.2012.2202676,2013
Learning-based deformable registration of MR brain images,"Guorong Wu;
Feihu Qi;
Dinggang Shen",https://ieeexplore.ieee.org/document/1677721/,10.1109/TMI.2006.879320,2006
A Label Field Fusion Bayesian Model and Its Penalized Maximum Rand Estimator for Image Segmentation,Max Mignotte,https://ieeexplore.ieee.org/document/5428842/,10.1109/TIP.2010.2044965,2010
Nonactive antenna compensation for fixed-array microwave imaging. I. Model development,"K.D. Paulsen;
P.M. Meaney",https://ieeexplore.ieee.org/document/781015/,10.1109/42.781015,1999
Applications of coordinate logic filters in image analysis and pattern recognition,"B.G. Mertzios;
K. Tsirikolias",https://ieeexplore.ieee.org/document/938615/,10.1109/ISPA.2001.938615,2001
On the Conditioning of Spectral Channelization (Energy Binning) and Its Impact on Multi-Material Decomposition Based Spectral Imaging in Photon-Counting CT,"Yan Ren;
Huiqiao Xie;
Wenting Long;
Xiaofeng Yang;
Xiangyang Tang",https://ieeexplore.ieee.org/document/9312477/,10.1109/TBME.2020.3048661,2021
Resolution improving method from multi-focal omnidirectional images,"H. Nagahara;
Y. Yagi;
M. Yachida",https://ieeexplore.ieee.org/document/959130/,10.1109/ICIP.2001.959130,2001
