name,author,press,release_date,ISBN
 四川国学院史,魏红翎 著,中华书局,2020-04-18,9787101142396
 国学经典三部曲《论语》《孙子兵法》《老子》（全本·全注·全译·全解读，黄朴民先生译注解读）,黄朴民 译注,安徽文艺出版社,2021-11-08,9787539672632
