title,author,press,release_date,ISBN
唐才子传·家藏文库,[元] 辛文房 著，舒宝璋 注,中州古籍出版社,2021-09-01,9787534898013
知道几句三字经,刘勃 著,上海人民出版社,2021-12-01,9787208172623
玉茗堂書經講意,[明] 湯顯祖 著,人民出版社,2021-12-01,9787010234519
漫画世说新语,胖乐胖乐 著，[南朝宋] 刘义庆，戴建业 编…,浙江文艺出版社,2022-01-01,9787533967086
四书五经名句鉴赏（第二版）,许登孝 著,四川辞书出版社,2022-01-01,9787557909451
孝经 大学 中庸（玩诵本）,杨汝清 著,东方出版社,2022-01-01,9787520724180
孟子（玩诵本）,杨汝清 著,东方出版社,2022-01-01,9787520724173
道德经（玩诵本）,杨汝清 著,东方出版社,2022-01-01,9787520724166
论语（玩诵本）,杨汝清 著,东方出版社,2022-01-01,9787520724159
中华古典珍品·图解人间词话,王国维 著，崇贤书院释译,黄山书社,2021-11-01,9787546197357
中华古典珍品·三字经·百家姓·千字文,王应麟 等 著，崇贤书院释译,黄山书社,2021-11-01,9787546197449
中华古典珍品·图解李太白集,[唐] 李白 著，崇贤书院释译,黄山书社,2021-11-01,9787546197401
中华古典珍品·图解汉书后汉书,班固，范晔 著，崇贤书院释译,黄山书社,2021-11-01,9787546197388
国学经典大声读：千字文,海豚低幼馆 著,少年儿童出版社,2021-11-01,9787558911071
国学经典大声读：三字经,海豚低幼馆 著,少年儿童出版社,2021-11-01,9787558911095
南怀瑾国学日历2022,南怀瑾文教基金会 著,东方出版社,2021-11-01,9787520718332
说苑（套装全2册 全本全注全译新版本）,[汉] 刘向 编，萧祥剑 等 译,团结出版社,2021-11-01,9787512667860
国学经典大声读：弟子规,海豚低幼馆 著,少年儿童出版社,2021-11-01,9787558911392
论语新绎,吴天明 著,文化发展出版社,2021-12-01,9787514235975
菜根谭：嚼得菜根者百事可做,李少林，李鹏 著,经济日报出版社,2021-12-01,9787519608439
古文观止新编新绎,注 著，高明 编，王更生 等 译,文化发展出版社,2022-01-01,9787514230581
诗经全本新绎（全三册）,吴宏一 著,文化发展出版社,2022-01-01,9787514230574
四书读本新绎,赖明德，陈弘治，刘本栋 译,文化发展出版社,2022-01-01,9787514230567
春在堂诗编 曲园自述诗 补自述诗 春在堂词录,[清] 俞樾 著，谢超凡 整理,凤凰出版社,2021-10-01,9787550633933
孙子兵法（明嘉靖三十五年谈恺本，全本全译全注）,[春秋] 孙武 著,中国友谊出版公司,2021-10-01,9787505753310
搜神记,[东晋] 干宝 著,北方文艺出版社,2021-10-01,9787531752431
经课续编 四书文 曲园四书文 曲园课孙草 经义塾钞,[清] 俞樾 著，汪少华 等整理,凤凰出版社,2021-10-01,9787550634947
家藏文库（第一辑50种）,[先秦] 商鞅，[晋] 葛洪 著,中州古籍出版社,2021-10-01,9787534898426
笺事：花笺信札及其他,薛冰 著,台海出版社,2021-11-01,9787516831427
山海经：绝美水墨画卷2（山精海怪篇）,沈鑫 著,北京联合出版公司,2021-11-01,9787559655745
古今诗选·英汉双语国学经典（翟理斯英译文）,[汉] 刘彻 等 著，[英] 翟理斯 译,中州古籍出版社,2021-09-01,9787534884528
日本藏汉籍善本研究,严绍璗 著,北京大学出版社,2021-10-01,9787301324875
